order_id,revenue_per_order
123368,0.02
21879,45.49
35475,53.48
37767,0.49
7524,1.5
40957,1.5
102862,94.95
122139,1.5
9045,146.51
40090,1.72
91374,1.72
114543,1.75
35100,1.82
55921,91.77
62242,313.82
114753,1.82
124141,80.82
25846,1.95
27763,1.95
38399,70.95
75572,1.95
78196,55.7
100206,1.95
116340,420.85
77845,31.97
89455,110.47
91156,2.5
101550,2.67
1001,52.77
15129,2.78
57458,197.88
112590,56.8
12674,182.94
13344,155.31
18327,2.95
23557,2.95
26348,2.95
27190,2.95
44320,2.95
55575,49.94
66052,72.94
80205,2.95
86186,2.95
90193,2.95
96050,92.45
101926,11.61
106698,12.95
113026,40.21
117821,26.95
118247,2.95
4044,2.99
11965,2.99
14071,46.99
24110,43.54
28872,25.99
38892,2.99
55646,2.99
59910,2.99
65418,2.99
96199,2.99
100912,91.76
103189,45.94
109957,16.87
123748,2.99
37435,112.99
72978,52.89
81291,16.04
93496,3.11
4852,3.17
61459,3.17
98906,101.6
98237,3.2
102764,33.19
19930,3.25
88908,32.25
99129,42.24
111095,3.25
77431,84.81
90440,3.28
101958,101.23
32313,368.24
76006,3.29
81162,3.29
68063,77.32
114614,94.77
98211,3.48
7092,37.5
18299,3.5
30179,3.5
33544,68.5
57908,3.5
61908,34.86
65109,155.16
74528,53.0
117466,28.49
48362,128.6
43964,63.62
89990,286.67
42686,14.69
43980,3.7
101320,197.68
54085,3.75
65426,3.8
72590,231.3
108033,14.49
118335,25.79
125074,3.8
30925,3.88
28118,3.95
47469,3.95
55636,18.95
56335,3.95
85096,106.93
89257,58.94
96116,3.95
106463,124.43
113798,29.94
124963,116.85
82298,173.97
2441,3.99
5163,69.44
6340,68.94
13778,3.99
17361,3.99
20159,3.99
25264,3.99
27904,3.99
29208,3.99
31186,43.98
44565,3.99
45013,123.99
51520,106.79
56250,3.99
60351,21.99
60757,43.98
77655,187.72
79361,3.99
80513,305.99
82608,33.98
83995,3.99
92411,89.95
94310,105.98
102627,3.99
102986,103.97
106727,128.98
107853,440.94
108327,78.49
109535,163.99
110595,52.99
114147,83.99
118738,3.99
28601,23.99
43053,50.0
98121,4.0
74970,24.96
89183,142.16
111083,383.04
13179,4.11
89382,4.11
112763,4.15
85977,4.21
107260,41.21
93236,4.27
70616,4.33
104527,4.33
112299,105.98
76526,4.38
81796,36.37
86353,4.38
91358,29.38
110286,4.38
90676,4.5
122722,212.4
20183,62.57
39366,4.58
91070,123.53
29643,4.63
50554,173.63
54431,4.63
55969,4.63
92234,104.58
37905,124.68
83257,4.73
43535,4.74
47839,18.24
62861,4.74
119989,150.22
123407,89.74
23133,53.84
94886,237.79
9246,205.91
9414,94.84
66877,4.85
15590,24.87
64594,4.89
117671,182.21
5429,35.94
14293,4.95
20935,4.95
24678,4.95
41158,4.95
46848,4.95
50992,79.95
64812,17.31
72933,4.95
76086,173.79
76383,4.95
115867,4.95
116432,114.94
34269,185.87
20044,73.98
21621,97.35
23325,4.99
23663,75.99
27227,4.99
34513,4.99
40057,4.99
53944,44.99
63827,4.99
68266,4.99
71245,182.99
71452,54.98
77589,4.99
84669,4.99
94094,4.99
98083,73.24
103726,198.49
110780,232.99
111745,4.99
115355,4.99
123766,4.99
6741,5.0
11691,5.0
11799,5.0
14248,29.0
22552,24.99
24438,5.0
